ad_id,fb_campaign_id,xyz_campaign_id,Impressions,Clicks,Spent,Total_Conversion,age,gender,interest,Approved_Conversion
0,163,19,170274,1155,1632.4240995991918,36,30-34,F,Travel,12.0
1,218,3,127755,2405,978.1631928525353,8,25-29,M,Travel,1.0
2,282,7,102716,1640,3379.006837888503,13,25-29,M,Tech,4.0
3,301,16,54687,1169,1015.7816223611849,37,35-39,F,Tech,19.0
4,476,11,62258,4464,2909.5550679634034,39,30-34,F,Travel,19.0
5,425,5,9153,4011,3031.0839230791476,3,35-39,F,Travel,22.0
6,365,18,15972,706,4813.994310965686,5,25-29,M,Travel,4.0
7,146,2,4288,4618,407.71306437289,0,25-29,F,Sports,53.0
8,303,11,35878,4855,2524.8654771101615,37,30-34,F,Tech,20.0
9,134,12,162840,1337,3733.282522449109,12,25-29,F,Sports,4.0
10,233,19,130233,2137,927.2723653495611,21,30-34,M,Tech,11.0
11,25,3,182638,2699,1970.9303223333702,39,30-34,F,Tech,18.0
12,134,4,101221,3288,361.3327173521081,33,25-29,M,Travel,13.0
13,133,2,121720,2219,3643.110275690095,10,25-29,M,Travel,5.0
14,323,3,194177,752,484.4510394594595,14,35-39,F,Tech,7.0
15,34,16,146169,4655,2005.7039563719395,33,35-39,F,Tech,13.0
16,142,11,126821,3463,4373.937024047624,19,30-34,F,Travel,8.0
17,21,8,109181,212,2387.886666912557,6,35-39,M,Sports,0.0
18,97,5,112423,4073,4567.478571522383,37,30-34,M,Travel,14.0
19,276,17,187079,3662,3841.289732807418,23,35-39,M,Sports,10.0
20,131,10,56192,924,4580.853602553241,31,25-29,F,Travel,12.0
21,92,15,163354,3075,680.6448947920863,38,30-34,M,Travel,17.0
22,373,10,134504,2513,414.13638138662856,24,25-29,F,Tech,10.0
23,38,4,1544,151,398.11495516762943,28,30-34,M,Sports,17.0
24,66,4,79435,4637,4350.828757019231,34,35-39,F,Travel,16.0
25,458,2,171623,3598,3188.646397769844,39,35-39,M,Travel,15.0
26,484,1,111308,1557,2508.0298843043224,21,25-29,M,Travel,9.0
27,75,4,7683,89,859.5399101725774,22,30-34,M,Sports,9.0
28,406,13,153213,465,3384.980516750005,26,25-29,F,Tech,9.0
29,48,10,146201,3792,1624.1860698367002,39,25-29,F,Travel,18.0
30,230,13,169468,755,3568.8553231664273,18,30-34,F,Travel,9.0
31,485,7,35955,2568,2328.7588778932577,33,35-39,M,Travel,17.0
32,235,6,18768,4494,2561.975809695409,11,35-39,F,Sports,20.0
33,333,16,172772,4646,3958.8453756763583,31,30-34,F,Travel,12.0
34,455,17,5398,1346,509.0901038407347,4,25-29,F,Tech,15.0
35,363,9,108750,339,2914.8545914513375,35,35-39,M,Travel,13.0
36,13,17,16999,2479,1026.3129891145493,13,30-34,F,Travel,13.0
37,282,11,60642,4208,4050.2769214771624,25,30-34,M,Travel,12.0
38,61,14,96731,3127,2469.7878788398366,5,30-34,M,Travel,6.0
39,36,8,85114,342,4944.041900170708,14,25-29,F,Tech,6.0
40,409,1,81244,3254,955.5694571448076,3,35-39,M,Tech,6.0
41,421,15,6635,1728,4816.944743615123,21,25-29,F,Tech,19.0
42,420,10,2065,1138,4014.539331212615,39,30-34,F,Travel,42.0
43,209,14,25732,2157,2432.2394580475793,9,30-34,M,Sports,6.0
44,214,7,2648,4367,4076.9936176891956,10,25-29,M,Travel,85.0
45,196,14,134454,4830,3034.102080943526,31,25-29,M,Tech,13.0
46,422,19,105597,713,3292.8492667573323,7,30-34,M,Sports,3.0
47,68,15,129790,2815,4572.769275401575,6,25-29,F,Sports,3.0
48,451,16,52202,3809,373.08856123589237,8,30-34,M,Travel,7.0
49,57,8,123461,1301,4183.191609594082,23,30-34,F,Tech,9.0
50,160,11,153046,1370,1939.983160832882,20,25-29,F,Travel,9.0
51,261,3,77351,1215,1661.450799698487,21,35-39,M,Travel,11.0
52,5,18,92723,1055,4970.432517489422,1,25-29,M,Sports,0.0
53,284,16,199444,4441,3916.892985278072,26,30-34,F,Travel,12.0
54,2,10,161192,1100,2453.3989369589594,12,25-29,M,Travel,5.0
55,259,7,196186,1137,2142.010562302667,30,25-29,M,Tech,13.0
56,92,11,76525,635,4393.768084065391,33,30-34,F,Travel,13.0
57,306,14,137422,631,479.73361746372603,4,35-39,F,Sports,2.0
58,254,19,190069,3894,3556.6728467236367,11,30-34,F,Travel,3.0
59,438,19,130441,1448,3956.3153873404726,24,30-34,F,Sports,10.0
60,261,7,168221,4011,4006.022079594768,6,25-29,M,Tech,2.0
61,252,14,138000,2934,1645.3192874621673,16,35-39,M,Travel,8.0
62,185,19,141096,4293,3993.3639545929705,14,35-39,F,Tech,7.0
63,190,18,78395,2774,1165.3757872845424,24,35-39,F,Sports,11.0
64,315,12,175156,3823,1843.4243548986171,29,25-29,M,Travel,11.0
65,129,1,27884,4050,2116.36815541168,27,35-39,M,Travel,20.0
66,116,1,116201,314,2729.979418969315,12,30-34,F,Tech,6.0
67,154,12,144576,2806,607.4376444257581,23,25-29,M,Sports,12.0
68,272,3,169250,2278,2064.3916131645656,32,35-39,F,Tech,18.0
69,280,2,105545,1449,51.48841602926839,29,25-29,M,Travel,12.0
70,226,19,75707,2267,3734.684595419625,31,30-34,M,Sports,16.0
71,397,17,62738,2070,4266.785765559572,20,25-29,F,Sports,9.0
72,68,7,85168,2464,737.7118116449778,23,25-29,M,Sports,11.0
73,221,19,97681,4092,3533.739557870649,18,30-34,F,Travel,10.0
74,349,11,144045,4129,4114.460287553462,24,30-34,F,Travel,12.0
75,21,1,178008,3136,4910.050198215379,11,30-34,M,Sports,7.0
76,85,13,15516,3554,4226.763283725198,18,25-29,M,Travel,18.0
77,94,3,186874,4795,2149.3271029478638,9,25-29,M,Tech,5.0
78,434,7,106737,3188,4899.4591071228,20,25-29,M,Sports,11.0
79,46,16,72201,1853,4871.222804019158,27,35-39,F,Travel,16.0
80,297,19,134875,419,2543.201047042866,31,25-29,F,Travel,11.0
81,167,14,114734,2767,3779.560365990331,27,35-39,M,Tech,8.0
82,280,6,51666,1165,4573.496454982156,6,25-29,F,Sports,3.0
83,342,19,65052,2973,2406.9280062453277,7,25-29,M,Sports,5.0
84,398,1,144182,138,4325.741893430571,14,30-34,M,Travel,6.0
85,295,15,119265,4242,3522.7644020062703,38,30-34,F,Sports,17.0
86,325,14,101379,4723,1504.9250670740603,1,30-34,F,Sports,5.0
87,331,12,68244,735,3849.8787364181944,26,30-34,M,Tech,13.0
88,112,5,152371,4097,2874.8896900045206,11,30-34,M,Sports,6.0
89,227,11,78932,2038,514.5335094948659,21,35-39,F,Tech,9.0
90,471,5,66306,218,1987.3331102080876,3,35-39,F,Sports,1.0
91,55,1,178164,4550,415.0180163191393,33,25-29,F,Travel,14.0
92,70,14,53521,4705,2407.026467924128,34,25-29,M,Sports,18.0
93,148,15,46204,224,2171.271060307473,19,25-29,F,Travel,5.0
94,258,5,143120,2970,2147.5003427037145,31,25-29,M,Sports,13.0
95,255,8,125014,4115,2952.1867502743826,19,35-39,M,Tech,8.0
96,352,18,10660,3951,657.3187678715635,29,35-39,F,Sports,30.0
97,249,3,17719,2082,4672.156104286371,10,30-34,M,Travel,9.0
98,128,18,76050,4300,3436.0497179714134,12,35-39,F,Sports,9.0
99,122,11,166696,4150,4127.71772404422,6,35-39,M,Tech,3.0
100,332,10,80768,575,4489.1660997056115,18,35-39,F,Travel,7.0
101,412,8,157632,59,2937.434232271206,28,30-34,M,Tech,12.0
102,492,11,63976,520,249.08019347777346,31,30-34,F,Tech,12.0
103,217,12,48634,1831,3571.859779382902,33,30-34,M,Travel,16.0
104,384,1,158546,557,2866.6779786036227,7,25-29,F,Tech,4.0
105,422,1,175420,402,4138.488249743476,27,25-29,F,Travel,12.0
106,301,16,16780,1301,2684.1943436980036,10,35-39,F,Travel,8.0
107,133,4,12655,3266,4075.5582720527523,14,25-29,M,Travel,18.0
108,67,18,134581,2625,4985.200950708834,14,25-29,M,Travel,8.0
109,471,11,67887,1376,1785.2463162710462,23,30-34,F,Tech,11.0
110,305,6,115156,4752,896.5561281023367,23,30-34,F,Sports,10.0
111,56,12,30905,3516,1988.790257296819,22,25-29,F,Travel,14.0
112,208,7,172148,3175,3777.5974498350984,2,25-29,F,Travel,0.0
113,384,2,90617,4719,2224.183212698617,37,35-39,M,Sports,15.0
114,249,18,179103,3929,2962.4815416746133,34,25-29,M,Tech,11.0
115,11,13,159468,642,680.4244360122717,15,25-29,M,Tech,5.0
116,140,18,141363,194,3644.3113791232026,22,30-34,M,Sports,12.0
117,118,16,46897,4325,1436.4078892391724,6,35-39,M,Travel,6.0
118,219,7,153634,2045,993.5569239998903,25,30-34,F,Tech,12.0
119,435,6,11352,306,4321.602492986813,35,30-34,M,Travel,15.0
120,178,13,114448,2388,2843.8434645469406,37,35-39,M,Travel,14.0
121,175,10,81505,1910,2448.269764613939,35,30-34,F,Tech,18.0
122,439,2,199332,2161,4499.1776379799985,2,30-34,F,Travel,3.0
123,466,18,40504,2154,475.76155850196295,1,35-39,M,Tech,-0.0
124,11,11,189358,1577,3495.964529187419,29,35-39,M,Tech,14.0
125,464,14,19059,2449,1673.5123343347825,7,25-29,F,Travel,7.0
126,130,18,125011,2462,918.2782624261513,7,35-39,M,Sports,3.0
127,400,4,116486,4882,3390.2533173380307,25,25-29,M,Travel,13.0
128,94,18,179890,3466,1845.9686567715337,2,35-39,F,Sports,1.0
129,198,19,60440,3880,1682.9843708449823,31,25-29,M,Tech,18.0
130,222,12,180512,50,4721.2049378844795,7,35-39,M,Tech,4.0
131,429,7,134726,1551,1036.5267863634565,24,25-29,M,Travel,7.0
132,484,13,178188,4918,2585.2596062967887,25,35-39,M,Tech,10.0
133,229,16,40703,1356,168.86534332317888,7,30-34,M,Tech,5.0
134,279,2,151890,2554,858.672051127933,16,30-34,M,Sports,6.0
135,63,9,188480,4316,4422.922731486132,4,25-29,M,Travel,2.0
136,31,3,10670,3196,3956.7753638507475,39,25-29,F,Tech,32.0
137,426,16,73656,4407,2806.335675767252,20,35-39,M,Travel,12.0
138,479,11,127666,830,1151.1443101572333,5,25-29,F,Travel,0.0
139,408,18,21993,2558,2810.8505339754665,32,25-29,M,Tech,19.0
